pool_id,cell_line_display_name,ERBB2 expression,ERBB2 status
P120,NCIH1915,2.419538892,other
P115,NCIH1944,3.820689561,other
P107,NCIH1975,5.254367281,other
P110,NCIH2009,6.22650853,other
P105,NCIH2023,4.767654798,other
P112,NCIH2030,5.244506551,other
P108,NCIH2052,4.92314918,other
P118,NA,NA,other
P115,NCIH2087,5.418189948,other
P117,NCIH2110,6.423578171,other
P114,NCIH2122,5.141187525,other
P118,NCIH2126,7.163800604,other
P117,NCIH2170,11.20695329,overexpressing
P108,NCIH2172,4.488000771,other
P120,NCIH2228,4.351910961,other
P119,NCIH226,4.193771743,other
P117,NCIH23,3.240314329,other
P119,NCIH2347,5.773468928,other
P120,NCIH2444,4.492494152,other
P117,NCIH2452,3.944858446,other
P111,NCIH28,4.382667253,other
P113,NCIH292,5.442280035,other
P107,NCIH322,5.314333994,other
P115,NCIH358,5.270902649,other
P117,NCIH446,2.03562391,other
P102,NCIH460,3.897240426,other
P103,NCIH520,2.220329955,other
P114,NCIH522,7.244125943,other
P115,NCIH596,4.401220862,other
P117,NCIH650,4.451540833,other
P111,NCIH661,6.084064265,other
P115,NCIH727,3.553360503,other
P118,NCIH747,6.067165427,other
P104,NCIH838,4.655351829,other
P118,NCIH841,5.936873462,other
P107,NCIN87,11.76063679,overexpressing
P117,NUGC3,3.963474124,other
P106,NUGC4,7.030004945,other
P108,OAW42,5.722192761,other
P109,OC314,4.298658316,other
P105,OC316,4.612352499,other
P111,OE19,12.04613496,overexpressing
P118,OE21,2.689299161,other
P109,OE33,8.840400288,other
P120,ONCODG1,4.849498932,other
P104,ONS76,2.482848283,other
P117,OSRC2,4.929790998,other
P113,OUMS23,5.380590934,other
P116,OV56,3.784503983,other
P103,OV7,1.207892852,other
P112,OVCAR8,4.915042791,other
P116,OVISE,6.598871346,other
P102,OVK18,5.796234335,other
P114,OVTOKO,4.391630262,other
P115,PANC0203,5.359310317,other
P120,PANC0327,4.891419187,other
P117,PANC0403,4.798569004,other
P116,PANC0813,6.194559886,other
P106,PANC1,4.276496666,other
P111,PANC1005,6.129695157,other
P103,PATU8902,5.318316841,other
P114,PATU8988S,5.092968509,other
P104,PATU8988T,4.673556424,other
P112,PC14,5.004501392,other
P113,PC3,4.110196178,other
P103,PECAPJ15,5.199279721,other
P106,PECAPJ41CLONED2,4.35614381,other
P116,PECAPJ49,5.119771162,other
P106,PK1,5.995710629,other
P115,PK45H,4.147306699,other
P114,PK59,5.176721693,other
P108,PLCPRF5,5.429281193,other
P105,PSN1,3.94673086,other
P103,QGP1,2.153805336,other
P119,RCC10RGB,5.100136671,other
P119,RCM1,5.813524689,other
P115,RD,5.030777472,other
P119,RERFLCAD1,6.346070441,other
P109,RERFLCAD2,5.018367116,other
P113,RERFLCAI,4.728464765,other
P117,RERFLCKJ,7.70763522,other
P112,RERFLCMS,4.486070744,other
P105,RH30,4.301587647,other
P109,RKN,2.324810603,other
P101,RKO,4.213347282,other
P103,RL952,6.618091794,other
P103,RMGI,6.736740155,other
P110,RMUGS,5.905928478,other
P112,RT112,6.056583528,other
P113,RT4,6.447083226,other
P114,RVH421,3.9800253,other
P110,S117,2.053111336,other
P102,SBC5,5.555816155,other
P108,SCABER,3.638073837,other
P118,SCC25,3.346247774,other
P105,SF126,1.974529312,other
P101,SF295,4.595742339,other
P105,SF539,4.7473874,other
P119,SH10TC,4.597531174,other
P111,SH4,3.716990894,other
P113,SIMA,3.017921908,other
P102,SJSA1,4.817623258,other
P113,SKES1,4.036503334,other
P108,SKHEP1,4.935459748,other
P106,NA,NA,other
P119,SKMEL2,3.182692298,other
P118,SKMEL24,5.212569339,other
P119,SKMEL3,3.95419631,other
P114,SKMEL30,4.384049807,other
P120,SKMEL5,3.270528942,other
P119,SKMES1,3.945794957,other
P116,SKNAS,2.192194165,other
P106,SKNBE2,2.555816155,other
P116,SKNEP1,4.806324057,other
P106,SKOV3,11.10243505,overexpressing
P108,SKUT1,5.914086097,other
P110,SNB75,5.433960931,other
P110,SNGM,5.159871337,other
P118,SNU1041,5.574404309,other
P105,SNU1066,6.125361806,other
P102,SNU1076,5.781884235,other
P102,SNU1077,4.772413555,other
P119,SNU1079,5.209063395,other
P116,SNU1105,4.936873462,other
P113,SNU1196,5.77925972,other
P120,SNU1214,4.809414444,other
P105,SNU213,5.831117195,other
P106,SNU245,6.338067798,other
P118,SNU308,4.912649865,other
P109,SNU398,4.699329526,other
P108,SNU407,6.282069075,other
P116,SNU410,4.237257771,other
P115,SNU423,4.34269696,other
P113,SNU449,5.510329019,other
P120,SNU46,5.462706751,other
P116,SNU466,6.850124314,other
P111,SNU601,5.652773285,other
P103,SNU61,5.674121633,other
P112,SNU668,5.302684614,other
P103,SNU685,4.682011391,other
P120,SNU719,5.783718558,other
P107,SNU761,5.038699551,other
P117,SNU81,6.453517579,other
P107,SNU840,6.031439309,other
P120,SNU869,5.9375798,other
P103,SNU886,4.241077458,other
P107,SNUC2A,7.471106152,other
P114,SNUC4,6.496174702,other
P119,SQ1,5.765004246,other
P104,SUIT2,5.465648026,other
P116,SW1088,3.770829046,other
P117,SW1271,1.137503524,other
P103,SW1353,4.92552477,other
P103,SW1573,5.490249211,other
P103,SW1710,5.339850003,other
P115,SW1990,4.458775699,other
P109,SW48,5.845740933,other
P108,SW480,3.615887074,other
P112,SW579,3.626439137,other
P108,SW620,4.199279721,other
P109,SW780,6.410578549,other
P108,SW837,6.03848008,other
P119,SW900,4.839959587,other
P111,SW948,5.973152038,other
P101,T24,5.335569006,other
P112,T3M10,5.130107179,other
P114,T47D,6.330379128,other
P109,T98G,4.930737338,other
P110,TCCPAN2,4.63284983,other
P114,TCCSUP,4.074676686,other
P114,TE1,5.463687842,other
P118,TE10,4.099295204,other
P105,TE11,4.207111961,other
P118,TE14,4.687060688,other
P104,TE4,10.99887245,overexpressing
P112,TE5,5.634883637,other
P115,TE6,6.737686761,other
P104,TE8,5.329482431,other
P113,TE9,6.561020578,other
P119,TEN,7.602290585,other
P116,TM31,5.301587647,other
P116,TM87,5.678916987,other
P102,TOV112D,5.534186139,other
P114,TOV21G,5.174326515,other
P110,TDOTT,5.733354341,other
P120,TT,3.684818738,other
P103,TT2609C02,5.196921734,other
P120,TUHR4TKB,4.819157224,other
P120,U118MG,4.604071324,other
P111,U251MG,4.01346226,other
P111,U2OS,5.434628228,other
P118,UACC257,4.186659017,other
P120,UACC62,4.295723025,other
P120,UBLC1,4.220329955,other
P119,UMUC1,5.520107902,other
P101,UO31,4.701549057,other
P102,VMCUB1,5.300123725,other
P103,VMRCRCW,4.171527106,other
P114,VMRCRCZ,4.582556003,other
P111,WM1799,5.368069877,other
P111,WM2664,4.803743669,other
P118,WM793,4.508428653,other
P117,WM88,4.438292852,other
P116,WM983B,5.778997006,other
P108,YAPC,5.832130501,other
P101,YD10B,4.492494152,other
P101,YD15,4.487357715,other
P102,YD38,3.66106548,other
P105,YD8,5.682292371,other
P108,YH13,5.027242536,other
P108,YKG1,3.690417096,other
P115,ZR751,6.752882366,other
