Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
0.1141088,NCIN87,0.1666667,ug/mL,T-MMAE,1:05,coculture
0.1261287,HCC1806,0.1666667,ug/mL,T-MMAE,1:05,coculture
0.17414,NCIN87,0.1666667,ug/mL,T-MMAE,1:20,coculture
0.161091,HCC1806,0.1666667,ug/mL,T-MMAE,1:20,coculture
0.7016009,HCC1806,0.01851852,ug/mL,T-MMAE,HCC1806 only,monoculture
0.09954988,NCIN87,0.01851852,ug/mL,T-MMAE,NCIN87 only,monoculture
0.1031912,NCIN87,0.01851852,ug/mL,T-MMAE,1:01,coculture
0.1284274,HCC1806,0.01851852,ug/mL,T-MMAE,1:01,coculture
0.12872,NCIN87,0.01851852,ug/mL,T-MMAE,1:02,coculture
0.2048579,HCC1806,0.01851852,ug/mL,T-MMAE,1:02,coculture
0.2033263,NCIN87,0.01851852,ug/mL,T-MMAE,1:05,coculture
0.2871742,HCC1806,0.01851852,ug/mL,T-MMAE,1:05,coculture
0.1340013,NCIN87,0.01851852,ug/mL,T-MMAE,1:20,coculture
0.5008639,HCC1806,0.01851852,ug/mL,T-MMAE,1:20,coculture
0.8843848,HCC1806,0.00617284,ug/mL,T-MMAE,HCC1806 only,monoculture
0.09717319,NCIN87,0.00617284,ug/mL,T-MMAE,NCIN87 only,monoculture
0.1066552,NCIN87,0.00617284,ug/mL,T-MMAE,1:01,coculture
0.1532067,HCC1806,0.00617284,ug/mL,T-MMAE,1:01,coculture
0.1314805,NCIN87,0.00617284,ug/mL,T-MMAE,1:02,coculture
0.2741684,HCC1806,0.00617284,ug/mL,T-MMAE,1:02,coculture
0.2270958,NCIN87,0.00617284,ug/mL,T-MMAE,1:05,coculture
0.6081405,HCC1806,0.00617284,ug/mL,T-MMAE,1:05,coculture
0.1927978,NCIN87,0.00617284,ug/mL,T-MMAE,1:20,coculture
0.9275605,HCC1806,0.00617284,ug/mL,T-MMAE,1:20,coculture
0.9498109,HCC1806,0.000685871,ug/mL,T-MMAE,HCC1806 only,monoculture
0.1115005,NCIN87,0.000685871,ug/mL,T-MMAE,NCIN87 only,monoculture
0.1182476,NCIN87,0.000685871,ug/mL,T-MMAE,1:01,coculture
0.1984108,HCC1806,0.000685871,ug/mL,T-MMAE,1:01,coculture
0.1448415,NCIN87,0.000685871,ug/mL,T-MMAE,1:02,coculture
0.3873042,HCC1806,0.000685871,ug/mL,T-MMAE,1:02,coculture
0.2432599,NCIN87,0.000685871,ug/mL,T-MMAE,1:05,coculture
0.6382612,HCC1806,0.000685871,ug/mL,T-MMAE,1:05,coculture
0.1548973,NCIN87,0.000685871,ug/mL,T-MMAE,1:20,coculture
0.9023889,HCC1806,0.000685871,ug/mL,T-MMAE,1:20,coculture
0.9364532,HCC1806,0.002057613,ug/mL,T-MMAE,HCC1806 only,monoculture
0.1035904,NCIN87,0.002057613,ug/mL,T-MMAE,NCIN87 only,monoculture
0.103723,NCIN87,0.002057613,ug/mL,T-MMAE,1:01,coculture
0.1454512,HCC1806,0.002057613,ug/mL,T-MMAE,1:01,coculture
0.1339768,NCIN87,0.002057613,ug/mL,T-MMAE,1:02,coculture
0.2462454,HCC1806,0.002057613,ug/mL,T-MMAE,1:02,coculture
0.2511997,NCIN87,0.002057613,ug/mL,T-MMAE,1:05,coculture
0.6708198,HCC1806,0.002057613,ug/mL,T-MMAE,1:05,coculture
0.1324268,NCIN87,0.002057613,ug/mL,T-MMAE,1:20,coculture
0.8550222,HCC1806,0.002057613,ug/mL,T-MMAE,1:20,coculture
