feature,coef,qval
GE_AKT3,0.187242469,2.432578132
GE_MYO5C,-0.187278664,2.432578132
GE_TSPO2,-0.187025061,2.427128913
GE_FRAT2,-0.187049377,2.427128913
GE_OVOL1,-0.18676948,2.418359119
GE_PRSS8,-0.186451166,2.411156359
GE_CAPS,-0.186471344,2.411156359
GE_BANK1,-0.186347583,2.411156359
GE_NR2F6,-0.186260669,2.411156359
GE_UBTD1,0.186402661,2.411156359
GE_CRYBG2,-0.186281196,2.411156359
GE_CRACR2B,-0.186262102,2.411156359
GE_CLEC2L,-0.186374739,2.411156359
GE_CNTROB,0.185419789,2.378446959
GE_CDC42BPG,-0.185340352,2.376879637
GE_DYRK3,0.185239045,2.374478624
GE_SELENOP,-0.18519985,2.374478624
GE_VIM,0.184990186,2.371756595
GE_TTC39A,-0.184931455,2.371756595
GE_RAB20,-0.185018848,2.371756595
GE_BATF,-0.184944305,2.371756595
GE_COLCA2,-0.184942049,2.371756595
GE_SLC10A5,-0.184646438,2.361787931
GE_DRAP1,0.184529619,2.358659194
GE_DENND5A,0.184475,2.358052558
GE_CAMSAP3,-0.184291897,2.353950208
GE_CACNA1D,-0.184315032,2.353950208
GE_CAVIN1,0.184255657,2.353950208
GE_TMPRSS13,-0.184109091,2.349596033
GE_SH3YL1,-0.183827158,2.341756096
GE_ESRP1,-0.183790397,2.341756096
GE_FSD1L,0.183804726,2.341756096
GE_MARVELD2,-0.183760007,2.341756096
GE_SYDE1,0.183682059,2.340162998
GE_KLHDC2,-0.183614954,2.339003927
GE_DZIP1L,0.183542022,2.337604791
GE_SYT17,-0.183168961,2.328363866
GE_LRRC66,-0.183213561,2.328363866
GE_OR10D3,-0.18316101,2.328363866
GE_NAXD,-0.183272562,2.328363866
GE_MARVELD3,-0.183094861,2.327265183
GE_CTDNEP1,0.18302897,2.327265183
GE_OR5M11,-0.183020935,2.327265183
GE_TBC1D30,-0.182979746,2.327111044
GE_MIA2,-0.182802498,2.321474065
GE_CARD14,-0.182669339,2.317611587
GE_ART1,-0.182480347,2.31241274
GE_CRB3,-0.182466006,2.31241274
GE_TMEM101,0.1823752,2.312380566
GE_LGALS1,0.182318571,2.312380566
GE_MUC20,-0.182418563,2.312380566
GE_C1orf210,-0.182351967,2.312380566
GE_SPINK8,-0.182144613,2.306860138
GE_ARSK,0.18181336,2.295041089
GE_RPL19,-0.181542937,2.288557757
GE_CMTM3,0.181563022,2.288557757
GE_ZG16B,-0.181550188,2.288557757
GE_SAMD12,-0.181329583,2.281468544
GE_FSCN1,0.181196191,2.277574537
GE_FAM174B,-0.181109551,2.276965792
GE_ZNF655,0.181115929,2.276965792
GE_EPCAM,-0.181030841,2.275243863
GE_CDH1,-0.180878635,2.273306087
GE_CTNS,0.18093231,2.273306087
GE_LIPM,-0.180876248,2.273306087
GE_HDHD3,-0.18067213,2.267971878
GE_TMEM107,0.180698734,2.267971878
GE_SCNN1A,-0.180490942,2.262154897
GE_PIK3CD,0.18032413,2.256911488
GE_ST6GALNAC1,-0.179896408,2.241322679
GE_ORMDL3,-0.179837621,2.240369891
GE_POF1B,-0.179764608,2.240217971
GE_RPL26,0.179791466,2.240217971
GE_LYPD3,-0.179726232,2.240061963
GE_C4orf19,-0.179651455,2.238461199
GE_RTN4,0.179554667,2.236619765
GE_GRTP1,-0.17951605,2.236619765
GE_MICA,0.179502472,2.236619765
GE_ST3GAL3,0.179380744,2.233149999
GE_ZBTB7B,-0.179323364,2.232221082
GE_DENND1C,-0.179240708,2.230290476
GE_DLG3,-0.179201747,2.230082227
GE_TOX3,-0.179126036,2.228419718
GE_ST3GAL2,0.178970914,2.223622345
GE_F7,-0.178737466,2.215740633
GE_TRAF4,-0.178624399,2.212603092
GE_FRK,-0.178479654,2.212028834
GE_CDH26,-0.178540974,2.212028834
GE_OXGR1,-0.178477208,2.212028834
GE_IFTAP,0.178487807,2.212028834
GE_SAPCD2,-0.178391537,2.209954818
GE_TFF3,-0.17824222,2.205378134
GE_CPO,-0.177409953,2.178411006
GE_C11orf52,-0.177414549,2.178411006
GE_GPX8,0.177486893,2.178411006
GE_SPINT1,-0.177516026,2.178411006
GE_FAM3B,-0.17739086,2.178411006
GE_DNAJC18,0.17731684,2.176785525
GE_PRR5.ARHGAP8,-0.176711456,2.154428642
GE_SH2B3,0.176657697,2.153595419
GE_PAFAH1B1,0.176567383,2.151336161
GE_PGM1,0.176528281,2.151067705
GE_ARL13B,0.176337897,2.144912323
GE_RCN1,0.176173791,2.139781639
GE_TMC4,-0.175920326,2.131186181
GE_MAP7D1,0.175856825,2.12996263
GE_ALG1L,-0.175584956,2.120664489
GE_SH3GLB2,-0.175386073,2.114200572
GE_TMEM158,0.175307713,2.112399226
GE_C11orf68,0.175098443,2.105538898
GE_EDEM2,0.175009169,2.10520136
GE_PPP1R37,-0.174910771,2.10520136
GE_CNTNAP1,0.174978868,2.10520136
GE_STX2,0.174894935,2.10520136
GE_PRRG2,-0.174810226,2.10520136
GE_LRRCC1,-0.174818717,2.10520136
GE_ST14,-0.17480789,2.10520136
GE_LAD1,-0.174956147,2.10520136
GE_MTARC1,-0.174851465,2.10520136
GE_RAB15,-0.174746806,2.104038263
GE_CORO2A,-0.174393649,2.092060799
GE_PER2,-0.17437407,2.092060799
GE_MISP,-0.174231844,2.091300548
GE_FAAH2,-0.174279712,2.091300548
GE_SERPINA11,-0.174259785,2.091300548
GE_OR9A4,-0.174287464,2.091300548
GE_GALNT3,-0.174183883,2.090626582
GE_LYPD4,-0.17407396,2.087570337
GE_MBNL3,-0.173976233,2.084981555
GE_PTK6,-0.173929122,2.084333413
GE_KRT4,-0.173799557,2.080520626
GE_RASGEF1B,-0.173733739,2.079151071
GE_IL20RA,-0.173664041,2.077630744
GE_SLC52A3,-0.173553277,2.07453582
GE_SGTB,0.17350415,2.073799443
GE_FAM216A,0.173274901,2.066171018
GE_FOXI3,-0.173151652,2.062599133
GE_CYP2J2,-0.173068338,2.060552297
GE_RPL26L1,0.17261212,2.045949935
GE_POLR3G,0.172637006,2.045949935
GE_PSMB6,0.172596599,2.045949935
GE_TMEM62,-0.17246863,2.04220123
GE_COG2,-0.172365436,2.039395435
GE_PIGK,0.172268818,2.036998284
GE_SH2D5,0.172243678,2.036998284
GE_ECI2,0.172191881,2.036141699
GE_ADGRV1,-0.172144713,2.035458719
GE_FOLR1,-0.171916774,2.027910556
GE_CEBPA,-0.171872854,2.027347901
GE_PPA2,-0.171684217,2.021296336
GE_EPB41L4B,-0.171360636,2.010142834
GE_ETS1,0.171192341,2.004874768
GE_SSR3,0.170942189,1.996519792
GE_HSPA13,0.170865636,1.994721049
GE_FSIP2,-0.170618563,1.986493712
GE_MED8,0.170541125,1.984661404
GE_NOTCH3,-0.170202889,1.974097094
GE_CDC6,-0.170222803,1.974097094
GE_ELP5,0.17017006,1.973939611
GE_C11orf53,-0.170141397,1.973936219
GE_FXR2,0.169903483,1.966073921
GE_ZNF704,-0.16973799,1.960935238
GE_SLC16A1,0.169670325,1.959464795
GE_RABGGTB,0.169635197,1.959211653
GE_PKD2L1,-0.169590196,1.958586327
GE_NEBL,-0.169501626,1.95738285
GE_RALGAPA1,-0.169519973,1.95738285
GE_RILPL2,0.169458957,1.95683837
GE_NMT2,0.169386223,1.956214467
GE_CHRM1,-0.169395585,1.956214467
GE_SRMS,-0.169314329,1.955072858
GE_ZNF524,-0.169299886,1.955072858
GE_ZBTB7C,-0.169263232,1.954742485
GE_BMF,-0.16920353,1.95354833
GE_ABHD11,-0.169061391,1.949272942
GE_P2RY2,-0.169017057,1.948650203
GE_MAP7D3,0.168942338,1.946891224
GE_DVL2,0.168828077,1.944681464
GE_XBP1,-0.168843779,1.944681464
GE_ZEB1,0.168490648,1.933130698
GE_TPST1,0.16844487,1.932447345
GE_SDCBP2,-0.168377167,1.931092639
GE_PIK3C2B,-0.168326547,1.931092639
