feature,coef,log10(q.val)
GE_PIP4P2,0.209558045,3.464795481
GE_ZNF552,-0.209513082,3.464499841
GE_RGSL1,-0.209409053,3.461437903
GE_GJB3,-0.20934252,3.460121609
GE_TRIM23,0.209197806,3.455150342
GE_ENO1,0.209111957,3.452921635
GE_CKMT1A,-0.208868511,3.443342654
GE_SPAG7,0.208822103,3.442942753
GE_PAFAH1B1,0.208716651,3.441283676
GE_RAB11FIP4,-0.208711255,3.441283676
GE_CARD14,-0.20867037,3.441121266
GE_FERMT1,-0.20857384,3.438363368
GE_TJP3,-0.208407834,3.434011512
GE_UPK1A,-0.208406132,3.434011512
GE_FA2H,-0.208181471,3.425287664
GE_PLA2G2F,-0.207952252,3.416357018
GE_DYRK3,0.207817574,3.411812482
GE_SIDT1,-0.207677823,3.411253837
GE_TRPV6,-0.207660188,3.411253837
GE_RASA3,0.207673237,3.411253837
GE_COLCA2,-0.207675828,3.411253837
GE_EDA2R,0.207560961,3.409806588
GE_CEACAM18,-0.207557058,3.409806588
GE_FBXW8,0.207498534,3.408752289
GE_AGR2,-0.207249792,3.398896168
GE_ILDR1,-0.206912603,3.388230774
GE_KIAA0408,0.206926309,3.388230774
GE_FER1L6,-0.206976818,3.388230774
GE_VAMP2,0.206846024,3.386782467
GE_AKT3,0.206751332,3.384032696
GE_ARHGAP27,-0.206673795,3.382069623
GE_BATF,-0.20636063,3.369251671
GE_CNRIP1,0.206240602,3.365328966
GE_DNAJC6,0.20604218,3.357800683
GE_CRK,0.205944858,3.354917689
GE_CTDNEP1,0.20590636,3.354731836
GE_AKIP1,0.205681084,3.345969208
GE_CBLC,-0.205589218,3.343327029
GE_C1orf116,-0.204952207,3.315731354
GE_SYT8,-0.20485488,3.312843398
GE_SLC6A11,-0.204738566,3.309085037
GE_CPEB2,0.204552422,3.303235373
GE_EVPL,-0.204542652,3.303235373
GE_CORO1C,0.204416964,3.300573228
GE_GABARAP,0.204417449,3.300573228
GE_TMEM45B,-0.204310161,3.297232304
GE_CRMP1,0.203982632,3.291762663
GE_SEPTIN7,0.204042539,3.291762663
GE_PSD4,-0.203958521,3.291762663
GE_ATP1A4,-0.204039588,3.291762663
GE_TTLL7,0.204129856,3.291762663
GE_OSR2,-0.203962422,3.291762663
GE_CLEC2L,-0.203982599,3.291762663
GE_DAPP1,-0.203661214,3.27973481
GE_ITGB6,-0.203304103,3.267954304
GE_KCNMA1,0.20333443,3.267954304
GE_TSPAN4,0.20332041,3.267954304
GE_SYT17,-0.203183266,3.263942305
GE_PTPRU,-0.202966667,3.255593246
GE_KXD1,0.202901769,3.255561353
GE_CRB3,-0.202931587,3.255561353
GE_AC093512.2,0.202863529,3.255276485
GE_PPL,-0.202593375,3.24450373
GE_TRAM2,0.202433489,3.23871893
GE_ERC1,0.202028798,3.221899389
GE_SHOX2,0.201904131,3.21917806
GE_PLA2G2A,-0.201925465,3.21917806
GE_CKMT1B,-0.20187367,3.21917806
GE_RECQL,0.201733092,3.215671876
GE_DOCK4,0.201738329,3.215671876
GE_JAZF1,0.201448807,3.204295221
GE_CORO2B,0.20140684,3.203808825
GE_BNIP3,0.20126061,3.198637729
GE_GALNT12,-0.201225196,3.198438222
GE_RGL1,0.201061177,3.193847397
GE_RUSC2,0.201069642,3.193847397
GE_BBIP1,0.200903729,3.188167299
GE_PLA2G4F,-0.20070531,3.181555675
GE_IRS2,0.200694884,3.181555675
GE_DCBLD2,0.200662336,3.181462658
GE_FMNL3,0.20047497,3.174829624
GE_ABO,-0.200439019,3.174829624
GE_CAPN8,-0.200423114,3.174829624
GE_KRBOX4,0.200198893,3.166160472
GE_H3C8,-0.20016389,3.165940434
GE_CNTNAP1,0.199917319,3.157072327
GE_SYTL1,-0.199905175,3.157072327
GE_MDFI,-0.199742091,3.152461388
GE_FAM83F,-0.199757385,3.152461388
GE_STRADB,0.199696196,3.151739394
GE_ST6GALNAC1,-0.19920817,3.131350822
GE_SDR42E1,-0.198888896,3.118492766
GE_SSH3,-0.198855201,3.11830846
GE_ENTPD2,-0.198692337,3.11239525
GE_F11R,-0.198492261,3.104836667
GE_HSPA13,0.198434082,3.103560067
GE_KRT7,-0.198359423,3.101551337
GE_CHMP4C,-0.198297253,3.10009224
GE_TNFAIP6,0.198071618,3.091406693
GE_GSTO2,-0.198037557,3.091185294
GE_DPYSL2,0.198005351,3.091042273
GE_FGF2,0.197930323,3.089093837
GE_C2orf15,-0.197903516,3.089093837
GE_RPL19,-0.197858661,3.088382418
GE_NAV3,0.197692433,3.08231505
GE_DNAJC18,0.197367356,3.069255525
GE_CORO2A,-0.197280484,3.067431575
GE_MED31,0.197155684,3.067431575
GE_PPP3CC,0.197162748,3.067431575
GE_FAM110A,-0.197169213,3.067431575
GE_SMPDL3B,-0.197203976,3.067431575
GE_DNAJB4,0.197173436,3.067431575
GE_FAM83B,-0.196724254,3.049718265
GE_MPV17,0.196594407,3.045255346
GE_IL17RE,-0.196483606,3.04360907
GE_FSIP2,-0.196472997,3.04360907
GE_BTBD19,0.196520253,3.04360907
GE_ETV1,0.196224777,3.033957664
GE_MUC4,-0.196169225,3.032741687
GE_PRRG4,-0.196041419,3.029405251
GE_SLC27A2,-0.196037619,3.029405251
GE_P2RX2,-0.195996969,3.028832858
GE_CBX3,0.195927601,3.027002505
GE_C10orf88,0.195722049,3.019223177
GE_ACSL4,0.195492962,3.015797456
GE_RHOV,-0.195512769,3.015797456
GE_PIN1,0.195480931,3.015797456
GE_SCEL,-0.195453358,3.015797456
GE_TBCEL,0.19553165,3.015797456
GE_ACOT11,-0.195467644,3.015797456
GE_EPPK1,-0.19552479,3.015797456
GE_CCDC120,-0.195328947,3.013028035
GE_ZNF683,-0.195309324,3.013028035
GE_DMBX1,-0.19535843,3.013028035
GE_TRPC1,0.195202973,3.009559367
GE_PRKACB,0.195087716,3.005702554
GE_ELMO3,-0.194896341,3.001369015
GE_AMPD2,0.194882113,3.001369015
GE_RECK,0.194950147,3.001369015
GE_GSTA5,-0.194908931,3.001369015
GE_ERBB3,-0.194630808,2.991597064
GE_RHOD,-0.19443921,2.984425101
GE_GAN,-0.194376918,2.982862368
GE_CDKL3,0.194329537,2.982837436
GE_MPHOSPH9,0.194303999,2.982837436
GE_MACF1,0.19427031,2.982837436
GE_DZIP1L,0.194262466,2.982837436
GE_BCL2,0.194246034,2.982837436
GE_OCLN,-0.194129863,2.978926449
GE_SCARF2,0.193780946,2.964949512
GE_TNS2,0.19367043,2.96461691
GE_MED1,-0.193694857,2.96461691
GE_PIK3C2G,-0.193718793,2.96461691
GE_ARL2,0.193687403,2.96461691
GE_CTSH,-0.193629084,2.964300149
GE_PTMS,0.193612057,2.964300149
GE_ENTPD4,0.193530908,2.962989785
GE_MB,-0.193536409,2.962989785
GE_RIPK3,-0.193474532,2.961649033
GE_WDR81,0.193348647,2.959479365
GE_GPR160,-0.193370973,2.959479365
GE_SOGA3,0.193355193,2.959479365
GE_KIAA1522,-0.193234659,2.955646378
GE_GPC6,0.19318176,2.954445587
GE_GSDMB,-0.193064856,2.95048583
GE_ATF2,0.192988681,2.948279568
GE_SLC25A30,0.19290399,2.945705501
GE_SCRIB,-0.192878851,2.945692226
GE_UPK2,-0.192599897,2.935827711
GE_TTC9,-0.192616041,2.935827711
GE_C11orf53,-0.192425743,2.929409321
GE_ESX1,-0.192208495,2.921147044
GE_GATA3,-0.192099977,2.917550739
GE_ITPKC,-0.191966097,2.91286828
GE_CYB561,-0.191791009,2.906423928
GE_HENMT1,-0.191694322,2.903335895
GE_TMEM63A,-0.191479759,2.895210464
GE_RASEF,-0.191354004,2.890883012
GE_ARSK,0.191329149,2.890862231
GE_MAP1B,0.191265356,2.889177483
GE_MKRN2OS,-0.191121849,2.884091509
GE_POF1B,-0.190920563,2.877576464
GE_ACSF2,-0.190941504,2.877576464
GE_MTFR1L,0.190309586,2.852620922
GE_CBX5,0.19008745,2.844219704
GE_PRKCH,-0.190021601,2.842450482
GE_CDH3,-0.18999216,2.8423189
GE_SULT2B1,-0.1899704,2.8423189
GE_TLCD1,-0.189752753,2.834114656
GE_TIAF1,-0.189639124,2.830318686
GE_DPY19L1,0.189595518,2.829484897
GE_ZDHHC17,0.189515615,2.827114159
GE_EXPH5,-0.189389197,2.822776576
GE_IL9R,-0.18929712,2.819890531
GE_CAP2,0.189229138,2.818021364
GE_LY75,-0.189130983,2.815874646
GE_MUC5B,-0.189132938,2.815874646
GE_SLC15A2,-0.188958938,2.809612059
GE_ARFGEF3,-0.188891501,2.807761737
GE_ITGAE,0.188728998,2.804830306
GE_KLHL29,0.188754412,2.804830306
GE_DNAJA4,-0.188730522,2.804830306
GE_ZNF165,-0.188728217,2.804830306
GE_GPR135,0.188665877,2.803186782
GE_TEAD1,0.188578466,2.800486736
GE_SAPCD2,-0.188389667,2.793522634
GE_FAAH2,-0.18832509,2.792755758
GE_TRIM49B,-0.188338741,2.792755758
GE_ZC3H7A,0.188301495,2.792734681
GE_WDR19,0.18826166,2.792029262
GE_UBFD1,0.188210001,2.791789407
GE_GSDME,0.188215585,2.791789407
GE_ZNF750,-0.188178862,2.791443502
GE_CSGALNACT2,0.188039944,2.787170361
GE_TCF24,-0.188031392,2.787170361
GE_ARHGAP31,0.187980948,2.78696287
GE_H2BU1,-0.187999106,2.78696287
GE_DMKN,-0.187851583,2.784145251
GE_CLIC4,0.187890084,2.784145251
GE_TIMM22,0.187845853,2.784145251
GE_CLUAP1,0.187746655,2.781292113
GE_ACTR1A,0.18773272,2.781292113
GE_ATP9A,-0.187651156,2.778816588
GE_CNN3,0.187525073,2.775414052
GE_PRKD1,0.187535465,2.775414052
GE_ANO1,-0.187455821,2.77345118
GE_KIF3C,0.187306169,2.76812561
GE_TRIM29,-0.187128661,2.761639434
GE_FAM110C,-0.187062414,2.759802067
GE_EVA1A,0.186876428,2.754815732
GE_CLDN8,-0.186919414,2.754815732
GE_SCG2,0.186892761,2.754815732
GE_RABEP1,0.186786939,2.752005073
GE_FAM83H,-0.186761094,2.751846804
GE_PLAAT2,-0.186698958,2.750174251
GE_IYD,-0.186606361,2.747811173
GE_CCDC83,-0.186598344,2.747811173
GE_SH3YL1,-0.186444596,2.744138713
GE_FBXL7,0.186484568,2.744138713
GE_ALPK2,0.186465037,2.744138713
GE_JMJD6,0.186389795,2.743162288
GE_GARS1,0.186355958,2.743162288
GE_TSHZ3,0.186374719,2.743162288
GE_STK17A,0.186232036,2.73980748
GE_PPIL3,0.186234688,2.73980748
GE_SCNN1A,-0.186203654,2.739524102
GE_MYLK,0.186134796,2.739340694
GE_RASSF8,0.186164108,2.739340694
GE_MYO5C,-0.186156052,2.739340694
GE_CREBL2,0.186102687,2.739294314
GE_NBPF9,0.186090924,2.739294314
GE_SMPD1,0.18591802,2.734766066
GE_PTPN2,-0.185956943,2.734766066
GE_FAM200B,0.185935364,2.734766066
GE_NRG1,0.185891372,2.734540251
GE_F2R,0.185863657,2.734268501
GE_YIPF5,0.18575671,2.731317293
GE_PRAMEF27,-0.185750285,2.731317293
GE_FRAT2,-0.185705688,2.730341261
GE_SLC25A11,0.185645699,2.728725975
GE_KCNAB2,0.185544162,2.725388575
GE_CREG2,-0.185313022,2.717554165
GE_FAM174B,-0.18532813,2.717554165
GE_GYPC,0.185017919,2.706334679
GE_OC90,-0.184999826,2.706334679
GE_NRSN2,0.184864404,2.701604289
GE_SLC44A4,-0.184835972,2.701290042
GE_LAMA3,-0.1847158,2.697190001
GE_SLC29A2,-0.184676518,2.696425921
GE_ATP8B3,0.184624642,2.69514133
GE_H3Y1,-0.184556367,2.693179888
GE_ARL14,-0.18451925,2.692501342
GE_KRT16,-0.184397712,2.688344881
GE_SP6,-0.184360751,2.687670712
GE_SGPL1,-0.184309481,2.687036086
GE_LRRC37A3,0.184304273,2.687036086
GE_EPDR1,0.184161359,2.681999729
GE_STARD3NL,0.184023949,2.679885539
GE_FAAH,-0.184010888,2.679885539
GE_CD70,0.184040249,2.679885539
GE_HMG20A,0.183987763,2.679885539
GE_PDE6D,0.183997673,2.679885539
GE_MAGED1,0.18403408,2.679885539
GE_UNC13D,-0.183941644,2.678822278
GE_NTM,0.183897111,2.677823
GE_PPP1R3F,0.183692123,2.675008836
GE_RABGAP1L,-0.183728238,2.675008836
GE_STK32B,0.183720927,2.675008836
GE_LY96,0.18380775,2.675008836
GE_ALOX15,-0.183741413,2.675008836
GE_KLK6,-0.183742787,2.675008836
GE_MSRB3,0.18368811,2.675008836
GE_ZZZ3,0.18357045,2.673443514
GE_ARHGEF16,-0.183571663,2.673443514
GE_GGT6,-0.1836133,2.673443514
GE_TSTD1,-0.183593784,2.673443514
GE_VPS53,0.183486824,2.670827306
GE_RASSF4,0.183431651,2.669376497
GE_DOCK6,-0.183387239,2.668767666
GE_SGTB,0.183377366,2.668767666
GE_PRSS16,-0.183264626,2.665760842
GE_CTSE,-0.183266589,2.665760842
GE_ALS2CL,-0.183137951,2.661380352
GE_THAP3,0.183091847,2.660295568
GE_CCNG1,0.183049444,2.659361074
GE_ADPRM,0.182965614,2.65673254
GE_DSP,-0.182874029,2.655637365
GE_POLR3GL,0.182841704,2.655637365
GE_BTN2A2,0.182850438,2.655637365
GE_DSC2,-0.182853611,2.655637365
GE_CXCL16,-0.182897022,2.655637365
GE_PRAF2,0.182723201,2.65158884
GE_KLC3,-0.182598491,2.647288822
GE_RAB15,-0.182533119,2.64617692
GE_B3GALT4,-0.1825327,2.64617692
GE_IFIT5,0.182503026,2.645750536
GE_PLSCR4,0.182341674,2.64177916
GE_LOXL2,0.182364349,2.64177916
GE_DEGS2,-0.182328998,2.64177916
GE_SMIM5,-0.182332167,2.64177916
GE_DLG3,-0.182151856,2.636704922
GE_PDLIM2,0.18216197,2.636704922
GE_ATP6V1B2,0.182147225,2.636704922
GE_HEBP2,-0.18210745,2.636629706
GE_MALSU1,0.182126084,2.636629706
GE_CNTROB,0.18203232,2.634848927
