x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_SDC1,-0.157025187370882,-0.0207741554785921,8.39824809554631e-05,622,24,EXP,SDC1,0.00230712848088219,temozolomide::O6-benzylguanine::100::5,3,2.63692821952985
EXP_SOS1,0.149406141272565,0.0583682437723994,0.000184245116364268,622,35,EXP,SOS1,0.00374587393619051,temozolomide::O6-benzylguanine::100::5,4,2.42644684248082
EXP_WIPF1,0.108567548843115,0.0145236522200393,0.00672354757807926,622,21,EXP,WIPF1,0.0384024125529578,temozolomide::O6-benzylguanine::100::5,2,1.4156414911136
EXP_COX7A2L,0.110494776246051,0.0517666054898986,0.00580424348213657,622,29,EXP,COX7A2L,0.0347863404152882,temozolomide::O6-benzylguanine::100::5,3,1.45859125739912
EXP_PNO1,0.0986669639586575,0.0426073827281743,0.013823919244115,622,20,EXP,PNO1,0.0617870676268049,temozolomide::O6-benzylguanine::100::5,3,1.20910241562402
EXP_PLEK,0.159918731172546,0.0280662667588393,6.1716596192346e-05,622,13,EXP,PLEK,0.00190621918221149,temozolomide::O6-benzylguanine::100::5,3,2.71982716447828
EXP_RND3,-0.185351741719284,-0.0249821031327096,3.25961170983254e-06,622,30,EXP,RND3,0.000327804403795362,temozolomide::O6-benzylguanine::100::5,3,3.48438521632019
EXP_THADA,0.196527659008498,0.0854996234002641,7.82111301098151e-07,622,51,EXP,THADA,0.000131453183588447,temozolomide::O6-benzylguanine::100::5,3,3.88122889150397
EXP_TRAK2,-0.11122582612323,-0.0381041619897162,0.00548622852530338,622,28,EXP,TRAK2,0.0334091124739947,temozolomide::O6-benzylguanine::100::5,1,1.47613506140965
EXP_PCYOX1,-0.130789991148612,-0.0400626066891132,0.00107781365706893,622,20,EXP,PCYOX1,0.0116059029548627,temozolomide::O6-benzylguanine::100::5,3,1.93532106519867
EXP_EPAS1,-0.128319537186227,-0.0163116420509695,0.00134075552829267,622,24,EXP,EPAS1,0.0132623329335507,temozolomide::O6-benzylguanine::100::5,3,1.87738007389128
EXP_ARID3A,0.0906569190244353,0.019577775198477,0.0237538923226303,622,20,EXP,ARID3A,0.0888810797706438,temozolomide::O6-benzylguanine::100::5,3,1.05119067801426
EXP_NFE2L2,-0.098945150543045,-0.0353816413878901,0.0135573881775335,622,17,EXP,NFE2L2,0.0608695384691544,temozolomide::O6-benzylguanine::100::5,3,1.21559999118373
EXP_MSH6,0.295331754311347,0.0922587601388115,5.5157770368355e-14,622,82,EXP,MSH6,9.31890530373357e-10,temozolomide::O6-benzylguanine::100::5,4,9.03063510143043
EXP_SPR,-0.116084843552733,-0.0249068817502662,0.00374198581781753,622,14,EXP,SPR,0.0258255107810569,temozolomide::O6-benzylguanine::100::5,3,1.58795108017811
EXP_PARD3B,-0.159373907032602,-0.0479368519738224,6.54290041626279e-05,622,42,EXP,PARD3B,0.00196694488492455,temozolomide::O6-benzylguanine::100::5,4,2.70620780912412
EXP_FARSB,0.10560576252626,0.0487966688475196,0.00839202855634318,622,21,EXP,FARSB,0.0441956552478238,temozolomide::O6-benzylguanine::100::5,3,1.35462042283734
EXP_ALMS1,0.174971372831121,0.0662602399260269,1.13927180112462e-05,622,39,EXP,ALMS1,0.000732970996541068,temozolomide::O6-benzylguanine::100::5,4,3.13491320993101
EXP_DNAJC16,-0.109684401607258,-0.0511798264793915,0.00617606061310511,622,25,EXP,DNAJC16,0.036230744464726,temozolomide::O6-benzylguanine::100::5,2,1.44092274204604
EXP_SCP2,-0.198573346206587,-0.0774137341721132,5.96827798132213e-07,622,48,EXP,SCP2,0.000117385375219782,temozolomide::O6-benzylguanine::100::5,3,3.93038600749205
EXP_RALGPS2,-0.101933873065739,-0.0240065262079692,0.0109673171036658,622,14,EXP,RALGPS2,0.0527479618194011,temozolomide::O6-benzylguanine::100::5,2,1.27779431683953
EXP_TCEANC2,0.124399950338303,0.0607565294641634,0.00188124199655258,622,19,EXP,TCEANC2,0.0164426195197909,temozolomide::O6-benzylguanine::100::5,4,1.78402899261318
