"","ccle_name","GE_MCL1","GE_BCL2L1","XPR_MCL1","XPR_BCL2L1","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted"
"20069","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.01367,0.825470994826772,1,0.794564621345008
"20070","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.01367,0.825470994826772,1,0.779577520297717
"20071","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.041,0.739536214649146,1,0.900610163083637
"20072","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.041,0.739536214649146,1,0.967748281065116
"20073","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.041,0.739536214649146,1,0.795068689928649
"20074","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.041,0.739536214649146,1,0.456008434724915
"20075","CHLA200_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.041,0.739536214649146,1,0.167113704219749
"20076","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.000506,0.963974461529959,1,0.908222671241948
"20077","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.000506,0.963974461529959,1,0.917594740744976
"20078","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.000506,0.963974461529959,0.999999999999975,0.949369740880068
"20079","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.000506,0.963974461529959,0.99999990944093,0.869633160295066
"20080","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.000506,0.963974461529959,0.751552795726604,0.777659521706077
"20081","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.001519,0.931234623424045,1,0.91591948439789
"20082","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.001519,0.931234623424045,1,0.937106797575242
"20083","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.001519,0.931234623424045,0.999999999999975,0.975597321190495
"20084","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.001519,0.931234623424045,0.99999990944093,0.863975143483058
"20085","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.001519,0.931234623424045,0.751552795726604,0.613595162125001
"20086","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.004556,0.872731510037025,1,0.854531414395389
"20087","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.004556,0.872731510037025,1,0.853340803315709
"20088","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.004556,0.872731510037025,0.999999999999975,0.847955171364664
"20089","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.004556,0.872731510037025,0.99999990944093,0.706872693319659
"20090","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.004556,0.872731510037025,0.751552795726604,0.559417810800297
"20091","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.01367,0.776367258974523,1,0.815949802639929
"20092","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.01367,0.776367258974523,1,0.809310730612246
"20093","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.01367,0.776367258974523,0.999999999999975,0.76639814261748
"20094","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.01367,0.776367258974523,0.99999990944093,0.608236561334196
"20095","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.01367,0.776367258974523,0.751552795726604,0.449381583443822
"20096","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.041,0.637413095934365,1,0.862309415092237
"20097","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.041,0.637413095934365,1,0.858855301463956
"20098","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.041,0.637413095934365,0.999999999999975,0.73729772516298
"20099","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.041,0.637413095934365,0.99999990944093,0.52959376777968
"20100","DU145_PROSTATE",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.041,0.637413095934365,0.751552795726604,0.311513907454235
"20101","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.000506,0.956300544429824,1,0.844410369104773
"20102","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.000506,0.956300544429824,1,0.64674633957332
"20103","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.000506,0.956300544429824,1,0.827092913527125
"20104","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.000506,0.956300544429824,0.999999992846048,0.68752947873963
"20105","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.000506,0.956300544429824,0.669349431708012,0.583292130616678
"20106","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.001519,0.905180140623509,1,0.869974656947232
"20107","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.001519,0.905180140623509,1,0.947529802058132
"20108","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.001519,0.905180140623509,1,0.836565194419798
"20109","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.001519,0.905180140623509,0.999999992846048,0.703241807530571
"20110","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.001519,0.905180140623509,0.669349431708012,0.44999003113554
"20111","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.004556,0.806470319572172,1,0.879955294797319
"20112","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.004556,0.806470319572172,1,0.999999997382141
"20113","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.004556,0.806470319572172,1,0.91270180956712
"20114","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.004556,0.806470319572172,0.999999992846048,0.877748680592474
"20115","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.004556,0.806470319572172,0.669349431708012,0.162811777653452
"20116","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.01367,0.645208052183851,1,0.79027140506201
"20117","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.01367,0.645208052183851,1,0.8836153140064
"20118","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.01367,0.645208052183851,1,0.709600336911989
"20119","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.01367,0.645208052183851,0.999999992846048,0.642528014453668
"20120","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.01367,0.645208052183851,0.669349431708012,0.236522510033151
"20121","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.041,0.442540170979548,1,0.838263492330122
"20122","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.041,0.442540170979548,1,0.999956499879076
"20123","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.041,0.442540170979548,1,0.862469175442101
"20124","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.041,0.442540170979548,0.999999992846048,0.811315009418213
"20125","GCIY_STOMACH",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.041,0.442540170979548,0.669349431708012,0.0699615130427177
"20126","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.000506,0.996825506502588,1,0.922832111224339
"20127","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.000506,0.996825506502588,1,0.926392076228048
"20128","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.000506,0.996825506502588,1,0.925667394220595
"20129","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.000506,0.996825506502588,1,0.80529833296996
