ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,EXP_MGMT,EXP_MSH6,RPPA_MSH2_MSH2,RPPA_MSH6_Caution_MSH6,synergy_count_across_doses
MP41_UVEA,ACH-002010,temozolomide,O6-benzylguanine,0.4115,5,0.911782035384315,1,0.89172379653157,0.911782035384315,1.10211497973956,0.89172379653157,0.0200582388527447,0.032092066964761,0.911782035384315,0.911782035384315,NA,NA,NA,NA,4
MP41_UVEA,ACH-002010,temozolomide,O6-benzylguanine,1.235,5,1,1,0.912759398503435,1.05346249077344,1.10211497973956,0.912759398503435,0.0872406014965645,0.131693476004535,1,1,NA,NA,NA,NA,4
MP41_UVEA,ACH-002010,temozolomide,O6-benzylguanine,100,5,0.762379995597274,1,1,0.762379995597274,1.10211497973956,1.00261248309016,-0.237620004402726,-0.391417830612282,0.762379995597274,0.762379995597274,NA,NA,NA,NA,4
MP41_UVEA,ACH-002010,temozolomide,O6-benzylguanine,11.11,5,1,1,0.80162193690456,1.07571209051238,1.10211497973956,0.80162193690456,0.19837806309544,0.31900610552792,1,1,NA,NA,NA,NA,4
MP41_UVEA,ACH-002010,temozolomide,O6-benzylguanine,3.704,5,1,1,0.772681205228623,1.02811981268928,1.10211497973956,0.772681205228623,0.227318794771377,0.372054788759118,1,1,NA,NA,NA,NA,4
MP41_UVEA,ACH-002010,temozolomide,O6-benzylguanine,33.33,5,0.947961037514566,1,0.930959859144694,0.947961037514566,1.10211497973956,0.930959859144694,0.0170011783698715,0.0261088001958464,0.947961037514566,0.947961037514566,NA,NA,NA,NA,4
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,0.1372,5,0.971790373570318,1,0.94252495818949,0.971790373570318,1.12878575527635,0.94252495818949,0.0292654153808278,0.0441143197269633,0.971790373570318,0.971790373570318,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,0.4115,5,0.962698828725569,1,0.742203758284143,0.962698828725569,1.12878575527635,0.742203758284143,0.220495070441426,0.37526922867319,0.962698828725569,0.962698828725569,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,1.235,5,0.758154331953846,1,0.991248739151884,0.758154331953846,1.12878575527635,0.991248739151884,-0.233094407198038,-0.386755568528981,0.758154331953846,0.758154331953846,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,100,5,1,1,1,1.21067215490252,1.12878575527635,1.43156725603239,0,0,1,1,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,11.11,5,1,1,1,1.3248816063351,1.12878575527635,1.21275894362916,0,0,1,1,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,3.704,5,1,1,1,1.44260934933495,1.12878575527635,1.02543658821333,0,0,1,1,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MPP89_PLEURA,ACH-000319,temozolomide,O6-benzylguanine,33.33,5,1,1,1,1.55023655871013,1.12878575527635,1.01530035735607,0,0,1,1,4.3110671022556,4.65306001710456,-0.333601,-0.555781,1
MS751_CERVIX,ACH-001360,temozolomide,O6-benzylguanine,0.1372,5,0.822398533467157,1,1,0.822398533467157,1.16707062820594,1.1134435600157,-0.177601466532843,-0.282090403022822,0.822398533467157,0.822398533467157,4.98048235553826,5.48381577726426,NA,NA,2
MS751_CERVIX,ACH-001360,temozolomide,O6-benzylguanine,0.4115,5,1,1,0.839878644970704,1.18136637055498,1.16707062820594,0.839878644970704,0.160121355029296,0.251747208599506,1,1,4.98048235553826,5.48381577726426,NA,NA,2
MS751_CERVIX,ACH-001360,temozolomide,O6-benzylguanine,1.235,5,1,1,0.951458586968238,1.17146867825064,1.16707062820594,0.951458586968238,0.0485414130317616,0.0717872315312993,1,1,4.98048235553826,5.48381577726426,NA,NA,2
MS751_CERVIX,ACH-001360,temozolomide,O6-benzylguanine,100,5,0.817141757037146,1,0.610725316551414,0.817141757037146,1.16707062820594,0.610725316551414,0.206416440485731,0.42006272673189,0.817141757037146,0.817141757037146,4.98048235553826,5.48381577726426,NA,NA,2
MS751_CERVIX,ACH-001360,temozolomide,O6-benzylguanine,11.11,5,1,1,1,1.11193978024256,1.16707062820594,1.31493283462761,0,0,1,1,4.98048235553826,5.48381577726426,NA,NA,2
MS751_CERVIX,ACH-001360,temozolomide,O6-benzylguanine,3.704,5,1,1,0.976565529159509,1.00730533758597,1.16707062820594,0.976565529159509,0.023434470840491,0.0342112403077701,1,1,4.98048235553826,5.48381577726426,NA,NA,2
