ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,EXP_MGMT,EXP_MSH6,RPPA_MSH2_MSH2,RPPA_MSH6_Caution_MSH6,qval_S.emp.onlySynergy,qval_S.emp,is_synergistic,synergy_count_across_doses
NCIH1092_LUNG,ACH-000514,temozolomide,O6-benzylguanine,0.4115,5,0.907426798060057,1,1,0.907426798060057,1.11023740004112,1.04121439989733,-0.0925732019399435,-0.140146829007973,0.907426798060057,0.907426798060057,0.0285691521967709,6.17352723812251,1.015727,0.951083,0.679064187162568,0.641871625674865,0,1
NCIH1092_LUNG,ACH-000514,temozolomide,O6-benzylguanine,1.235,5,1,1,1,1.09053694768165,1.11023740004112,1.06854357148593,0,0,1,1,0.0285691521967709,6.17352723812251,1.015727,0.951083,0.278844231153769,0.557688462307539,0,1
NCIH1092_LUNG,ACH-000514,temozolomide,O6-benzylguanine,100,5,1,1,1,1.50025713967952,1.11023740004112,1.26138615029738,0,0,1,1,0.0285691521967709,6.17352723812251,1.015727,0.951083,0.278844231153769,0.557688462307539,0,1
NCIH1092_LUNG,ACH-000514,temozolomide,O6-benzylguanine,11.11,5,1,1,0.875859311033441,1.19697452301318,1.11023740004112,0.875859311033441,0.124140688966559,0.191228946037045,1,1,0.0285691521967709,6.17352723812251,1.015727,0.951083,0.0867826434713057,0.173565286942611,1,1
NCIH1092_LUNG,ACH-000514,temozolomide,O6-benzylguanine,3.704,5,0.993721299086795,1,1,0.993721299086795,1.11023740004112,1.21524589245185,-0.00627870091320504,-0.00908680728914846,0.993721299086795,0.993721299086795,0.0285691521967709,6.17352723812251,1.015727,0.951083,0.451409718056389,0.902819436112777,0,1
NCIH1092_LUNG,ACH-000514,temozolomide,O6-benzylguanine,33.33,5,1,1,1,1.33665240580792,1.11023740004112,1.49948806360344,0,0,1,1,0.0285691521967709,6.17352723812251,1.015727,0.951083,0.278844231153769,0.557688462307539,0,1
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,0.1372,5,0.954851831818308,1,0.823030824899672,0.954851831818308,1.17721853114437,0.823030824899672,0.131821006918636,0.214330416963516,0.954851831818308,0.954851831818308,3.86987140617771,5.54627713209007,0.290367,0.200047,0.0804839032193562,0.160967806438712,1,6
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,0.4115,5,0.740345011588387,1,0.652094921005541,0.740345011588387,1.17721853114437,0.652094921005541,0.0882500905828455,0.183115761395672,0.740345011588387,0.740345011588387,3.86987140617771,5.54627713209007,0.290367,0.200047,0.14627074585083,0.29254149170166,0,6
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,1.235,5,1,1,0.877643202227122,1.05239726266342,1.17721853114437,0.877643202227122,0.122356797772878,0.188293550339566,1,1,3.86987140617771,5.54627713209007,0.290367,0.200047,0.0910817836432714,0.182163567286543,1,6
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,100,5,1,1,0.492105809614851,1.00337425010151,1.17721853114437,0.492105809614851,0.507894190385149,1.0229595464074,1,1,3.86987140617771,5.54627713209007,0.290367,0.200047,9.99800039992449e-05,0.00019996000799849,1,6
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,11.11,5,0.950906886909303,1,0.663741116046447,0.950906886909303,1.17721853114437,0.663741116046447,0.287165770862856,0.518683432812214,0.950906886909303,0.950906886909303,3.86987140617771,5.54627713209007,0.290367,0.200047,0.00779844031193766,0.0155968806238753,1,6
