"","ccle_name","pert1","pert2","dose1","dose2","combination.fitted"
"113","253J_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.004556,0.790447692936246
"114","253J_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.004556,0.46937585345072
"115","253J_URINARY_TRACT","AZD5991","A-1331852",0.37,0.004556,0.0638368421524007
"116","253J_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.01367,0.776962513737165
"117","253J_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.01367,0.740020277669894
"118","253J_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.01367,0.559813127295859
"119","253J_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.01367,0.205463783742245
"120","253J_URINARY_TRACT","AZD5991","A-1331852",0.37,0.01367,0.015425754326375
"121","253J_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.041,0.75240737202879
"122","253J_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.041,0.603517307923546
"123","253J_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.041,0.39658956210366
"124","253J_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.041,0.0925080075785567
"125","253J_URINARY_TRACT","AZD5991","A-1331852",0.37,0.041,0.0069738848392347
"126","HCC827_LUNG","AZD5991","A-1331852",0.004568,0.000506,0.953390026674986
"127","HCC827_LUNG","AZD5991","A-1331852",0.0137,0.000506,0.98464919640684
"128","HCC827_LUNG","AZD5991","A-1331852",0.04111,0.000506,0.936791320897945
"129","HCC827_LUNG","AZD5991","A-1331852",0.1233,0.000506,0.93593538493388
"130","HCC827_LUNG","AZD5991","A-1331852",0.37,0.000506,0.856216758332359
"131","HCC827_LUNG","AZD5991","A-1331852",0.004568,0.001519,0.939341716610543
"132","HCC827_LUNG","AZD5991","A-1331852",0.0137,0.001519,0.965638359288748
"133","HCC827_LUNG","AZD5991","A-1331852",0.04111,0.001519,0.890287537857629
"134","HCC827_LUNG","AZD5991","A-1331852",0.1233,0.001519,0.802083112336182
"135","HCC827_LUNG","AZD5991","A-1331852",0.37,0.001519,0.52796566196539
"136","HCC827_LUNG","AZD5991","A-1331852",0.004568,0.004556,0.891441510597377
"137","HCC827_LUNG","AZD5991","A-1331852",0.0137,0.004556,0.882227106927207
"138","HCC827_LUNG","AZD5991","A-1331852",0.04111,0.004556,0.78668909437536
"139","HCC827_LUNG","AZD5991","A-1331852",0.1233,0.004556,0.698628646959753
"140","HCC827_LUNG","AZD5991","A-1331852",0.37,0.004556,0.509006173191119
"141","HCC827_LUNG","AZD5991","A-1331852",0.004568,0.01367,0.793651557991821
"142","HCC827_LUNG","AZD5991","A-1331852",0.0137,0.01367,0.730114537792696
