"","ccle_name","XPR_GPX4","culture","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted","S"
"55","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",10,10,0.64941529359434,0.921275590274359,0.625304562488376,0
"56","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",3.333,10,0.64941529359434,0.89779726234614,0.685716452703308,-0.036301159108968
"57","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.968217176103515,0.870475533399,0.0617219581168421
"58","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.935391672529046,0.889365562746651,0.0191133842336153
"59","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.87305834692607,0.905807793950226,-0.0327494470241559
"60","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.765735271975235,0.920018056343638,-0.154282784368403
"61","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",1.111,10,1,0.608362366079664,0.932245780414571,-0.323883414334907
"62","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",10,10,1,0.259651645047105,0.951663267786557,-0.692011622739452
"63","T24_URINARY_TRACT",-1.10146403107068,"PR500","ML210","ferrostatin-1",3.333,10,1,0.424668080777461,0.942722088441674,-0.518054007664213
"64","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",0.01372,10,0.700256606572086,0.913826527625399,0.880394024448002,-0.180137417875916
"65","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",0.04115,10,0.700256606572086,0.889333315371616,0.858667132333499,-0.158410525761413
"66","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",0.1235,10,0.700256606572086,0.858933069773459,0.833723115812648,-0.133466509240563
"67","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",0.3704,10,0.700256606572086,0.82187960657948,0.805393028078556,-0.105136421506471
"68","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",1.111,10,0.700256606572086,0.777609428457401,0.77354438794397,-0.0732877813718843
"69","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",10,10,0.700256606572086,0.667518530193089,0.699417406522141,-0.0318988763290527
"70","MCF7_BREAST",0.144235932621274,"PR500","ML210","ferrostatin-1",3.333,10,0.700256606572086,0.725995391524305,0.738171864358113,-0.0379152577860276
"71","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.998947628792487,1,-0.00105237120751289
"72","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.984325763885794,1,-0.015674236114206
"73","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.80574861241929,1,-0.19425138758071
"74","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.215339958843456,0.999999999999982,-0.784660041156526
"75","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",1.111,10,1,0.0178295760406353,0.999999999598034,-0.982170423557399
"76","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",10,10,1,7.93319092181365e-05,0.830842256208313,-0.830762924299095
"77","NCIH1693_LUNG",-1.43448686835254,"PR500","ML210","ferrostatin-1",3.333,10,1,0.00119881178966832,0.999990957690682,-0.998792145901013
"78","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",0.01372,10,0.880168826662871,0.848954076460534,0.960501562246061,-0.111547485785527
"79","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",0.04115,10,0.880168826662871,0.917719213245209,0.948408326394483,-0.068239499731612
"80","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",0.1235,10,0.880168826662871,0.956789124289324,0.932860940040633,-0.052692113377762
"81","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",0.3704,10,0.880168826662871,0.977747708008267,0.913071430245111,-0.0329026035822401
"82","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",1.111,10,0.880168826662871,0.988661843414207,0.888145998379889,-0.00797717171701751
"83","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",10,10,0.880168826662871,0.997097307470508,0.819394879588824,0.0582190875962006
"84","PATU8988S_PANCREAS",-0.297713860277303,"PR500","ML210","ferrostatin-1",3.333,10,0.880168826662871,0.994254994938528,0.857185790679909,0.017926461618834
"85","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.91583790552777,0.860833936254428,0.047949981281576
"86","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.881180692245947,0.843587528667426,0.0342064200853337
"87","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.834794665326595,0.824627524528328,0.00864788830534247
"88","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.774966422032568,0.803916753997682,-0.0289503319651134
"89","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",1.111,10,1,0.701219573169105,0.781406554854682,-0.0801869816855764
"90","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",10,10,1,0.521495648619458,0.730994808412395,-0.209499159792937
"91","PATU8988T_PANCREAS",-0.262975006008956,"PR500","ML210","ferrostatin-1",3.333,10,1,0.615287024931939,0.757088885094223,-0.141801860162285
"92","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",0.01372,10,1,0.998559744931205,0.988207632851082,0
