"","ccle_name","GE_MGMT","culture","pert1","pert2","dose1","dose2","library.fitted","combination.fitted","S"
"57","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.895913983561202,0.955283655115393,-0.0593696715541908
"58","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.866894028155675,0.925111233110056,-0.058217204954381
"59","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",1.235,5,0.831283490601896,0.877162272310298,-0.0458787817084022
"60","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",100,5,0.617552014295148,0.443857998503779,0.143069732896842
"61","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",11.11,5,0.738276661292197,0.704806359641852,0
"62","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",3.704,5,0.788499141071388,0.805037575006133,-0.0165384339347455
"63","SKN_ENDOMETRIUM",1.44360665147561,"PR300","temozolomide","O6-benzylguanine",33.33,5,0.680943979031512,0.579911773462833,0.0672643276143227
"64","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.554625005401353,0.978771331278738,-0.00018136098133481
"65","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.976791507791493,0.952991509629769,0.0237999981617242
"66","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",1.235,5,0.99929893665281,0.899087390808424,0.100211545844386
"67","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",100,5,0.999999999463375,0.249737870824331,0.750262128639044
"68","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",11.11,5,0.999999385886336,0.63268734748442,0.367312038401916
"69","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",3.704,5,0.999979240876495,0.796648542544717,0.203330698331778
"70","KE97_STOMACH",3.51222688651396,"PR300","temozolomide","O6-benzylguanine",33.33,5,0.999999981843612,0.430922957202773,0.569077024640839
"71","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.839158244736578,0.797519115812829,0.0416391289237493
"72","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.882196036525901,0.753565051226337,0.128630985299564
"73","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.91490248480711,0.703584318252714,0.211318166554396
"74","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",100,5,0.978561192544224,0.462995146257629,0.515566046286594
"75","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.956804371340118,0.588587819011052,0.368216552329066
"76","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.939142082392238,0.648234580144803,0.290907502247435
"77","BFTC909_KIDNEY",4.04701481951759,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.969508866298539,0.52620883660908,0.443300029689459
"78","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.712269074205447,0.828407294462089,-0.116138220256642
"79","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.847163069628391,0.812796059835101,0.00848974081496734
"80","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.925469231285123,0.796103938176801,0.101096100212989
