ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,antagonism_count_across_doses
RDES_BONE,ACH-000041,ML210,ferrostatin-1,0.3704,10,0.175823412392596,0.91193328634309,0.785304223211453,0.175823412392596,0.91193328634309,0.785304223211453,-0.609480810818857,-2.15912446518332,0.160339222279236,0.175823412392596,-1.01302730553915,0
RDES_BONE,ACH-000041,ML210,ferrostatin-1,1.111,10,0.166760960078314,0.91193328634309,1,0.166760960078314,0.91193328634309,1.36803581224191,-0.833239039921686,-2.58414651170233,0.152074870357946,0.166760960078314,-1.01302730553915,0
RDES_BONE,ACH-000041,ML210,ferrostatin-1,10,10,0.173311986432875,0.91193328634309,1,0.173311986432875,0.91193328634309,1.44370189074626,-0.826688013567125,-2.52855665868553,0.158048969350381,0.173311986432875,-1.01302730553915,0
RDES_BONE,ACH-000041,ML210,ferrostatin-1,3.333,10,0.16773420997317,0.91193328634309,0.798898817388799,0.16773420997317,0.91193328634309,0.798898817388799,-0.63116460741563,-2.25183583208403,0.152962409332995,0.16773420997317,-1.01302730553915,0
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,0.01372,10,0.96182867111304,1,0.955882810977262,0.96182867111304,1.00590921790201,0.955882810977262,0.00594586013577725,0.00894617412389209,0.96182867111304,0.96182867111304,-0.34003742155649,1
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,0.04115,10,1,1,0.872305943733387,1.03484308957672,1.00590921790201,0.872305943733387,0.127694056266613,0.197093874914161,1,1,-0.34003742155649,1
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,0.1235,10,1,1,0.6607086038327,1.15730606279634,1.00590921790201,0.6607086038327,0.3392913961673,0.597913963088855,1,1,-0.34003742155649,1
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,0.3704,10,0.819243251916752,1,0.765132773278246,0.819243251916752,1.00590921790201,0.765132773278246,0.0541104786385056,0.098581764378841,0.819243251916752,0.819243251916752,-0.34003742155649,1
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,1.111,10,0.715721005651633,1,0.540180873718294,0.715721005651633,1.00590921790201,0.540180873718294,0.175540131933339,0.405954762856287,0.715721005651633,0.715721005651633,-0.34003742155649,1
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,10,10,0.476598521947362,1,1,0.476598521947362,1.00590921790201,1.04285514941164,-0.523401478052637,-1.06915361751469,0.476598521947362,0.476598521947362,-0.34003742155649,1
RD_SOFT_TISSUE,ACH-000169,ML210,ferrostatin-1,3.333,10,0.506046110933465,1,0.7287475346187,0.506046110933465,1.00590921790201,0.7287475346187,-0.222701423685234,-0.526150248312793,0.506046110933465,0.506046110933465,-0.34003742155649,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,0.01372,10,1,1,0.885172473493075,1.24904739319893,1.1316490831222,0.885172473493075,0.114827526506925,0.1759695070251,1,1,-0.912420657026441,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,0.04115,10,0.996872663438816,1,0.799294997496705,0.996872663438816,1.1316490831222,0.799294997496705,0.197577665942111,0.318681172300523,0.996872663438816,0.996872663438816,-0.912420657026441,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,0.1235,10,0.87485700368245,1,0.880318497378501,0.87485700368245,1.1316490831222,0.880318497378501,-0.00546149369605187,-0.00897835606357694,0.87485700368245,0.87485700368245,-0.912420657026441,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,0.3704,10,0.288200841414477,1,0.69983213003482,0.288200841414477,1.1316490831222,0.69983213003482,-0.411631288620343,-1.27993435422903,0.288200841414477,0.288200841414477,-0.912420657026441,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,1.111,10,0.435856827850539,1,0.74776858017799,0.435856827850539,1.1316490831222,0.74776858017799,-0.311911752327451,-0.778737543083155,0.435856827850539,0.435856827850539,-0.912420657026441,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,10,10,0.374036079536516,1,1,0.374036079536516,1.1316490831222,1.31503802555936,-0.625963920463484,-1.41875065563576,0.374036079536516,0.374036079536516,-0.912420657026441,1
RERFGC1B_STOMACH,ACH-000144,ML210,ferrostatin-1,3.333,10,0.372883893742782,1,0.800952510014622,0.372883893742782,1.1316490831222,0.800952510014622,-0.428068616271841,-1.10299022202433,0.372883893742782,0.372883893742782,-0.912420657026441,1
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,0.01372,10,1,0.999011861963242,1,1.07778763888193,0.999011861963242,1.20260216728946,-0.00098813803675768,-0.00142628664549849,0.999011861963242,0.999011861963242,-0.818021501892887,1
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,0.04115,10,0.82749486856388,0.999011861963242,1,0.82749486856388,0.999011861963242,1.12969481573262,-0.17250513143612,-0.273177729336567,0.82667718940903,0.82749486856388,-0.818021501892887,1
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,0.1235,10,0.919673485208592,0.999011861963242,0.608381104979909,0.919673485208592,0.999011861963242,0.608381104979909,0.310383615876551,0.594720113796355,0.91876472085646,0.919673485208592,-0.818021501892887,1
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,0.3704,10,0.61084634033359,0.999011861963242,0.927991933117789,0.61084634033359,0.999011861963242,0.927991933117789,-0.317145592784199,-0.60330275154888,0.610242739830092,0.61084634033359,-0.818021501892887,1
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,1.111,10,0.242461726153695,0.999011861963242,1,0.242461726153695,0.999011861963242,1.08112845488025,-0.757538273846305,-2.04417106654106,0.242222140499625,0.242461726153695,-0.818021501892887,1
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,10,10,0.241116665562104,0.999011861963242,1,0.241116665562104,0.999011861963242,1.02133882332672,-0.758883334437896,-2.05219672394333,0.240878409013566,0.241116665562104,-0.818021501892887,1
