ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,qval_S.emp.onlyAntagonism,qval_S.emp,is_antagonistic,antagonism_count_across_doses
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000158,ML210,ferrostatin-1,0.1235,10,0.900477789120662,1,1,0.900477789120662,1.5031257544724,1.18853237707376,-0.0995222108793377,-0.151237403342883,0.900477789120662,0.900477789120662,NA,0.4348,0.8696,0,4
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000158,ML210,ferrostatin-1,0.3704,10,0.0955812716786649,1,0.624925550865047,0.0955812716786649,1.5031257544724,0.624925550865047,-0.529344279186382,-2.70888446027499,0.0955812716786649,0.0955812716786649,NA,0.0114,0.0228,1,4
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000158,ML210,ferrostatin-1,1.111,10,0.108441976375255,1,0.640989464219038,0.108441976375255,1.5031257544724,0.640989464219038,-0.532547487843784,-2.56337733191288,0.108441976375255,0.108441976375255,NA,0.0082,0.0164,1,4
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000158,ML210,ferrostatin-1,10,10,0.148655117254497,1,0.784805725870346,0.148655117254497,1.5031257544724,0.784805725870346,-0.636150608615849,-2.4003664404094,0.148655117254497,0.148655117254497,NA,0.0041,0.0082,1,4
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000158,ML210,ferrostatin-1,3.333,10,0.127634201748692,1,0.751526553880351,0.127634201748692,1.5031257544724,0.751526553880351,-0.623892352131659,-2.5578091046461,0.127634201748692,0.127634201748692,NA,0.0044,0.0088,1,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,0.01372,10,0.937374475477338,1,1,0.937374475477338,1.24036508771466,1.08046536341053,-0.0626255245226617,-0.0933025838378851,0.937374475477338,0.937374475477338,NA,0.3967,0.7934,0,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,0.04115,10,0.96092162842966,1,1,0.96092162842966,1.24036508771466,1.07866540157057,-0.0390783715703406,-0.0575093234997039,0.96092162842966,0.96092162842966,NA,0.4875,0.975,0,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,0.1235,10,0.986062133063792,1,1,0.986062133063792,1.24036508771466,1.16311958058397,-0.0139378669362079,-0.0202495393198636,0.986062133063792,0.986062133063792,NA,0.5554,1.1108,0,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,0.3704,10,0.120727823914995,1,0.970041210253602,0.120727823914995,1.24036508771466,0.970041210253602,-0.849313386338607,-3.00628782897249,0.120727823914995,0.120727823914995,NA,0,0,1,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,1.111,10,0.0694451350918483,1,1,0.0694451350918483,1.24036508771466,1.02049098113847,-0.930554864908152,-3.84798255855868,0.0694451350918483,0.0694451350918483,NA,0,0,1,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,10,10,0.172863441258185,1,1,0.172863441258185,1.24036508771466,1.05153894111013,-0.827136558741815,-2.53229530799174,0.172863441258185,0.172863441258185,NA,0,0,1,4
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000751,ML210,ferrostatin-1,3.333,10,0.149615767749361,1,0.963952541645098,0.149615767749361,1.24036508771466,0.963952541645098,-0.814336773895738,-2.68769989348399,0.149615767749361,0.149615767749361,NA,0,0,1,4
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,0.01372,10,1,0.99516316534667,0.785444082213979,1.46463394428225,0.99516316534667,0.785444082213979,0.209719083132691,0.341424516998948,0.99516316534667,0.99516316534667,-1.12792518381291,0.8885,0.223,0,5
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,0.04115,10,1,0.99516316534667,1,1.07773115653783,0.99516316534667,1.01091376280971,-0.00483683465332996,-0.00699500788664738,0.99516316534667,0.99516316534667,-1.12792518381291,0.5741,1.1482,0,5
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,0.1235,10,0.510229687149744,0.99516316534667,1,0.510229687149744,0.99516316534667,1.47851378091592,-0.489770312850256,-0.970781251890341,0.50776179051778,0.510229687149744,-1.12792518381291,0.0324,0.0648,1,5
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,0.3704,10,0.257441192872084,0.99516316534667,0.7309366893585,0.257441192872084,0.99516316534667,0.7309366893585,-0.473495496486416,-1.50550353543298,0.256195992389206,0.257441192872084,-1.12792518381291,0.0476,0.0952,1,5
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,1.111,10,0.180489469338095,0.99516316534667,0.99845992246468,0.180489469338095,0.99516316534667,0.99845992246468,-0.817970453126585,-2.46778985449061,0.179616471618239,0.180489469338095,-1.12792518381291,0,0,1,5
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,10,10,0.139204476737753,0.99516316534667,1,0.139204476737753,0.99516316534667,1.21248283939206,-0.860795523262247,-2.8447224866928,0.138531167700769,0.139204476737753,-1.12792518381291,0,0,1,5
OCIP5X_OVARY,ACH-001370,ML210,ferrostatin-1,3.333,10,0.31435277804983,0.99516316534667,1,0.31435277804983,0.99516316534667,1.0655933555351,-0.68564722195017,-1.66954358209387,0.312832305639588,0.31435277804983,-1.12792518381291,0,0,1,5
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,0.01372,10,0.570675475534059,0.708829363109762,0.547039875043655,0.570675475534059,0.708829363109762,0.547039875043655,0,0,0.404511533865168,0.570675475534059,-0.286532744310684,0.7185,1.437,0,2
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,0.04115,10,1,0.708829363109762,0.768698763755109,1.00379313685856,0.708829363109762,0.768698763755109,-0.0598694006453462,-0.116979979804836,0.708829363109762,0.708829363109762,-0.286532744310684,0.4958,0.9916,0,2
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,0.1235,10,1,0.708829363109762,1,1.39126951419682,0.708829363109762,1.24039676202722,-0.291170636890238,-0.496489726412873,0.708829363109762,0.708829363109762,-0.286532744310684,0.1738,0.3476,0,2
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,0.3704,10,0.686741205862473,0.708829363109762,0.913499897888101,0.686741205862473,0.708829363109762,0.913499897888101,-0.226758692025629,-0.411638036752248,0.486782331572727,0.686741205862473,-0.286532744310684,0.2572,0.5144,0,2
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,1.111,10,0.517568641971955,0.708829363109762,1,0.517568641971955,0.708829363109762,1.24770793168817,-0.482431358028045,-0.950177883743203,0.366867850854566,0.517568641971955,-0.286532744310684,0.0284,0.0568,1,2
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,10,10,0.583185852077644,0.708829363109762,1,0.583185852077644,0.708829363109762,1.15659752970869,-0.416814147922356,-0.777972374167992,0.413379256102821,0.583185852077644,-0.286532744310684,0.0567,0.1134,1,2
OCUG1_BILIARY_TRACT,ACH-001619,ML210,ferrostatin-1,3.333,10,0.651759653323603,0.708829363109762,0.972259578632139,0.651759653323603,0.708829363109762,0.972259578632139,-0.320499925308536,-0.577001497136449,0.461986379966009,0.651759653323603,-0.286532744310684,0.1442,0.2884,0,2
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,0.01372,10,0.691086474555364,0.74279016722988,1,0.691086474555364,0.74279016722988,1.07748124760497,-0.308913525444636,-0.533061850834501,0.513332238005287,0.691086474555364,NA,0.0449,0.0898,1,5
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,0.04115,10,1,0.74279016722988,1,1.32359432906461,0.74279016722988,1.17936017789499,-0.25720983277012,-0.428973377328868,0.74279016722988,0.74279016722988,NA,0.0881,0.1762,1,5
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,0.1235,10,1,0.74279016722988,1,1.3362554722021,0.74279016722988,1.05994842371797,-0.25720983277012,-0.428973377328868,0.74279016722988,0.74279016722988,NA,0.0881,0.1762,1,5
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,0.3704,10,0.949937492047632,0.74279016722988,0.679931407649847,0.949937492047632,0.74279016722988,0.679931407649847,0.0256728209261464,0.0534699939850278,0.705604228575993,0.74279016722988,NA,0.7723,0.4554,0,5
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,1.111,10,0.864808707473542,0.74279016722988,0.982339716385389,0.864808707473542,0.74279016722988,0.982339716385389,-0.23954954915551,-0.40326731145133,0.642371404446129,0.74279016722988,NA,0.0934,0.1868,1,5
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,10,10,0.693902731264558,0.74279016722988,1,0.693902731264558,0.74279016722988,1.19425778801651,-0.306097268735442,-0.527194649601415,0.515424125797271,0.693902731264558,NA,0.0462,0.0924,1,5
