x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_TNFRSF18,0.101094429434802,0.0145144112297963,0.0116463706315581,622,18,EXP,TNFRSF18,0.0878834718284301,temozolomide::O6-benzylguanine::11.11::5,2,1.05609279464927
EXP_MXI1,0.101126421995586,0.0194391820008643,0.0116198239508685,622,24,EXP,MXI1,0.0878230459821704,temozolomide::O6-benzylguanine::11.11::5,3,1.05639150425841
EXP_RFWD3,0.101122466369006,0.0265108775275763,0.0116231033333017,622,21,EXP,RFWD3,0.0878230459821704,temozolomide::O6-benzylguanine::11.11::5,5,1.05639150425841
EXP_ATXN3,0.140540733389137,0.0315734370074107,0.000438946762071045,622,35,EXP,ATXN3,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,4,1.01647906627093
EXP_CLNS1A,0.141040633680636,0.033707522373127,0.000418524478289547,622,24,EXP,CLNS1A,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,4,1.01647906627093
EXP_STX1B,0.140935623601925,0.0271188044751344,0.000422739533948631,622,21,EXP,STX1B,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,4,1.01647906627093
EXP_CNGA3,0.140408896599916,0.0859583109317146,0.000444485236273506,622,9,EXP,CNGA3,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,2,1.01647906627093
EXP_ANKAR,0.140799821252608,0.0374138276929996,0.000428249223566188,622,31,EXP,ANKAR,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,1,1.01647906627093
EXP_KIAA0408,0.140667007613156,0.0242302900554437,0.000433702287345087,622,16,EXP,KIAA0408,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,5,1.01647906627093
EXP_RFX8,0.141244839683248,0.0202073708760644,0.000410439620453948,622,15,EXP,RFX8,0.0962766418825755,temozolomide::O6-benzylguanine::3.704::5,2,1.01647906627093
EXP_PLXNB2,-0.14162210430958,-0.0183940186184853,0.000395884567821606,622,16,EXP,PLXNB2,0.0942037996245921,temozolomide::O6-benzylguanine::3.704::5,4,1.02593157998085
EXP_SCAPER,0.142409290269665,0.0341852163812908,0.000367050349893569,622,20,EXP,SCAPER,0.0885902237350264,temozolomide::O6-benzylguanine::3.704::5,3,1.05261420150112
EXP_PLPP7,0.142860591936166,0.0240255194766714,0.000351415314478309,622,22,EXP,PLPP7,0.0860458222914642,temozolomide::O6-benzylguanine::3.704::5,3,1.06527021074966
EXP_SH2D1A,0.142899253900294,0.0229801554219847,0.000350105207319666,622,6,EXP,SH2D1A,0.0860458222914642,temozolomide::O6-benzylguanine::3.704::5,4,1.06527021074966
EXP_ASIC1,0.143268979893115,0.0201096745009268,0.000337804739509356,622,26,EXP,ASIC1,0.0851822548359786,temozolomide::O6-benzylguanine::3.704::5,2,1.06965086802064
EXP_NONO,0.143482353309453,0.0321429151661039,0.000330890775457958,622,23,EXP,NONO,0.0847030250206394,temozolomide::O6-benzylguanine::3.704::5,4,1.07210107932323
